CMS_Certification_Number_|CCN|,Provider_Name,City,ZIP,Phone,Type_of_Ownership,Offers_Nursing_Care_Services,Offers_Physical_Therapy_Services,Offers_Occupational_Therapy_Services,Offers_Speech_Pathology_Services,Offers_Medical_Social_Services,Offers_Home_Health_Aide_Services,Date_Certified,Quality_of_patient_care_star_rating,How_often_the_home_health_team_began_their_patients'_care_in_a_timely_manner,How_often_the_home_health_team_taught_patients_|or_their_family_caregivers|_about_their_drugs,How_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,How_often_patients_got_better_at_walking_or_moving_around,How_often_patients_got_better_at_getting_in_and_out_of_bed,How_often_patients_got_better_at_bathing,How_often_patients'_breathing_improved,How_often_patients_got_better_at_taking_their_drugs_correctly_by_mouth,How_often_home_health_patients_had_to_be_admitted_to_the_hospital,Changes_in_skin_integrity_post-acute_care:_pressure_ulcer/injury,How_often_physician-recommended_actions_to_address_medication_issues_were_completely_timely,DTC_Numerator,DTC_Denominator,DTC_Observed_Rate,DTC_Risk-Standardized_Rate,DTC_Risk-Standardized_Rate_|Lower_Limit|,DTC_Risk-Standardized_Rate_|Upper_Limit|,DTC_Performance_Categorization,PPR_Numerator,PPR_Denominator,PPR_Observed_Rate,PPR_Risk-Standardized_Rate,PPR_Risk-Standardized_Rate_|Lower_Limit|,PPR_Risk-Standardized_Rate_|Upper_Limit|,PPR_Performance_Categorization
27034,ALASKAN HOME HEALTH  INC,ANCHORAGE,99515,9078308548,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,Yes,Yes,2/16/2016,1.5,75,98.6,96,68.8,76,74.5,70.2,48.7,20.5,0,97.1,337,438,76.94,83.33,79.22,87.41,Better Than National Rate,14,444,3.15,3.26,2.41,4.26,Same As National Rate
27035,INFINITE CARE OF ALASKA,ANCHORAGE,99518,9073503606,PROPRIETARY,Yes,No,No,No,No,Yes,1/4/2016,2,97.8,91.7,70.9,58.2,62.1,56.8,56.4,47.9,6,1.1,95.6,232,289,80.28,88.52,83.81,92.92,Better Than National Rate,10,274,3.65,3.44,2.54,4.55,Same As National Rate
27036,WELLSPRING HOME HEALTH CENTER,WASILLA,99654,9073573655,PROPRIETARY,Yes,No,No,Yes,Yes,Yes,5/17/2017,1.5,87.1,89.9,37.3,63.3,63.3,54.9,68.7,47.8,13.3,0,92.5,176,236,74.58,80.4,74.09,85.92,Same As National Rate,5,135,3.7,3.52,2.54,4.76,Same As National Rate
27037,SEARHC HOME HEALTH AGENCY,SITKA,99835,9079668969,VOLUNTARY NON-PROFIT - OTHER,Yes,Yes,No,Yes,No,No,8/29/2019,,85.7,100,91.7,,,,,,,,91.4,,,,,,,,,,,,,,
27038,KENAI PENINSULA HOME HEALTH  LLC,SOLDOTNA,99669,9072604444,PROPRIETARY,Yes,Yes,No,No,No,No,6/24/2020,5,99.1,99,72.3,97.8,98.2,100,78.9,97.4,,0,97.4,,,,,,,,,,,,,,
17000,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE,MONTGOMERY,36104,3342065341,GOVERNMENT - STATE/COUNTY,Yes,No,No,No,Yes,Yes,7/1/1966,4,94.5,98.8,53.8,88.2,87.5,89.7,84.8,82.1,14.4,0,95.1,845,1066,79.27,88.24,85.77,90.9,Better Than National Rate,16,434,3.69,3.34,2.5,4.39,Same As National Rate
17009,ENCOMPASS HEALTH HOME HEALTH,VESTAVIA HILLS,35216,2058242680,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,1/18/1973,3.5,97.8,98.1,73.2,83.5,83,84.8,82.3,82.5,16,0.3,98.9,6741,8969,75.16,81.1,80.1,82.27,Better Than National Rate,208,7190,2.89,2.95,2.6,3.31,Better Than National Rate
17013,KINDRED AT HOME,ENTERPRISE,36330,3343470234,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,7/24/1975,4,99,100,80.6,89.1,86.3,87.4,89.3,78.9,15.4,0,90.5,609,794,76.7,79.59,76.48,82.71,Same As National Rate,15,530,2.83,3.62,2.67,4.75,Same As National Rate
17014,AMEDISYS HOME HEALTH,BLOUNTSVILLE,35031,8664864919,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,9/4/1975,4,100,99.6,78.1,86.6,85.1,87.6,89.6,83.2,11,0,97.9,370,474,78.06,83.12,79.41,86.89,Better Than National Rate,14,345,4.06,3.56,2.62,4.84,Same As National Rate
17016,SOUTHEAST ALABAMA HOMECARE,ENTERPRISE,36330,3343474800,PROPRIETARY,No,No,Yes,Yes,Yes,Yes,6/9/1976,4,99.6,100,71.4,85.4,87.5,87.1,90.9,85.1,15.7,0,95.7,592,730,81.1,84.63,81.94,87.71,Better Than National Rate,12,424,2.83,3.34,2.48,4.54,Same As National Rate
17018,KINDRED AT HOME,RAINBOW CITY,35906,2564421138,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,1/1/1977,4.5,99.3,99.6,94.2,94.1,90.6,92.8,89.1,89.5,16.7,0,99.3,1176,1732,67.9,73.41,71.27,76,Worse Than National Rate,26,774,3.36,3.39,2.64,4.42,Same As National Rate
17020,AMEDISYS HOME HEALTH CARE,MOBILE,36607,2513800492,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,5/23/1977,4,100,100,85.2,86.1,87.8,88.4,92.6,87,19.2,0.3,98,884,1222,72.34,77.89,75.46,80.47,Same As National Rate,29,920,3.15,3.35,2.63,4.25,Same As National Rate
17024,SOUTHEAST ALABAMA HOMECARE,DOTHAN,36301,3347940591,PROPRIETARY,No,No,No,Yes,Yes,Yes,6/1/1978,4.5,97.5,99.8,75.3,91,88.4,90.2,90.1,85,13.9,0.3,97.3,1130,1398,80.83,84.95,82.87,87.17,Better Than National Rate,27,1014,2.66,3.15,2.44,4.12,Same As National Rate
17025,SAAD HEALTHCARE,MOBILE,36609,2513439600,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/28/1978,2.5,99.3,99.8,52.9,76,77.6,76.1,77.4,76.3,17.6,0.3,98.8,1040,1422,73.14,77.37,75.09,79.87,Same As National Rate,26,989,2.63,3.29,2.57,4.14,Same As National Rate
17026,KINDRED AT HOME,HOOVER,35244,2057397800,PROPRIETARY,No,No,No,Yes,No,Yes,3/29/1979,3.5,96.1,96.8,66.2,85.2,80.8,86.8,87.6,78,18.6,0.1,93.4,739,1013,72.95,79.46,76.73,82.41,Same As National Rate,33,732,4.51,3.84,2.96,4.91,Same As National Rate
17027,DECATUR MORGAN HOMECARE,DECATUR,35603,2563504182,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,7/25/1979,4,99.5,99.9,70.3,86.4,85.7,91.8,90.3,84,17,0.3,99.3,1693,2112,80.16,84.38,82.63,86.32,Better Than National Rate,57,1369,4.16,3.94,3.15,4.86,Same As National Rate
17034,COMFORT CARE COASTAL HOME HEALTH,FOLEY,36535,2516214431,VOLUNTARY NON PROFIT - RELIGIOUS AFFILIATION,Yes,Yes,Yes,No,Yes,Yes,5/26/1981,4.5,99.9,100,81.1,88.7,90.2,92,90.6,87,14.1,0,99.5,1201,1567,76.64,79.81,77.84,82.23,Same As National Rate,44,994,4.43,4.43,3.46,5.48,Same As National Rate
17035,INFIRMARY HOMECARE,MOBILE,36608,2514503300,PROPRIETARY,No,Yes,Yes,Yes,Yes,Yes,8/20/1981,4,98.7,100,68.5,87.6,93.9,89.1,93.9,84.9,17.7,0.3,98.9,978,1228,79.64,81.76,79.57,84.02,Better Than National Rate,38,1187,3.2,3.73,2.9,4.7,Same As National Rate
17037,BAPTIST HOME HEALTH,MONTGOMERY,36117,3343955100,PROPRIETARY,No,No,Yes,Yes,Yes,Yes,10/1/1981,4,99.9,100,71.8,84.7,86.7,88,90.1,82.5,18.7,0.4,96.9,655,872,75.11,85.79,82.97,88.82,Better Than National Rate,22,677,3.25,3.07,2.37,3.92,Same As National Rate
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,HUNTSVILLE,35801,2568851665,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,8/5/1982,4,99.8,99.4,80.6,90.6,89.8,92.8,87,82.4,18.5,0.5,97.1,1138,1534,74.19,79.2,77.18,81.64,Same As National Rate,28,919,3.05,3.25,2.51,4.08,Same As National Rate
17048,KINDRED AT HOME,GENEVA,36340,3346843919,PROPRIETARY,Yes,No,Yes,Yes,No,Yes,12/8/1983,4,100,100,66.4,82.6,78.8,93.1,86.2,81.1,16.6,0,77.8,444,552,80.43,81.83,78.57,85.17,Same As National Rate,7,295,2.37,3.35,2.33,4.52,Same As National Rate
17050,SPECTRUM HOME HEALTH AGENCY,HUNTSVILLE,35816,2565394457,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,Yes,Yes,10/19/1983,2.5,76.8,96.3,56.5,71.6,71.6,77.8,70.4,88.6,11,0,100,128,151,84.77,85.35,78.61,90.37,Same As National Rate,3,72,4.17,3.47,2.46,4.82,Same As National Rate
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,HOMEWOOD,35209,2058680147,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/1/1984,4,99.9,100,74,84.2,84.7,85.9,89.5,78.1,14.1,0,98.7,1168,1495,78.13,82.21,80.18,84.4,Better Than National Rate,31,1057,2.93,3.37,2.69,4.35,Same As National Rate
17052,KINDRED AT HOME,FOLEY,36535,2519433002,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,9/20/1984,4,98.9,99.1,82,89.9,85.8,89.1,93.9,82.3,13.7,0.7,97.8,645,774,83.33,85.16,82.43,87.69,Better Than National Rate,18,567,3.17,3.9,2.94,5.22,Same As National Rate
17053,ENCOMPASS HEALTH HOME HEALTH,DOTHAN,36305,3347935758,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,8/20/1984,4.5,98.9,99.5,86.7,91.1,89.9,91.1,86.8,91.6,15.5,0,98.7,2407,3011,79.94,84.18,82.81,85.84,Better Than National Rate,41,1744,2.35,3.03,2.4,3.74,Same As National Rate
17054,KINDRED AT HOME,BIRMINGHAM,35209,2058360777,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,9/4/1984,3,96.3,98.4,87,82.6,81.5,84,75.9,82.7,18.3,0.8,96.8,703,927,75.84,82.32,79.28,85.4,Better Than National Rate,19,534,3.56,3.42,2.55,4.38,Same As National Rate
17055,KINDRED AT HOME,PRATTVILLE,36066,3343619806,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,6/8/1984,3,94.7,99.1,72.1,81,80,81.8,79,72.4,15.5,0.6,96.6,620,829,74.79,82.67,79.74,85.67,Better Than National Rate,21,563,3.73,3.38,2.63,4.45,Same As National Rate
17056,KINDRED AT HOME,PIKE ROAD,36064,3342701151,PROPRIETARY,No,No,Yes,Yes,No,Yes,12/3/1984,3.5,97.2,99.3,90,84.1,81.2,85.2,88.3,75.7,14.8,0,97.8,522,705,74.04,81.28,78.27,84.61,Same As National Rate,21,444,4.73,3.79,2.82,4.81,Same As National Rate
17058,KINDRED AT HOME,DAPHNE,36526,2516210882,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,10/25/1984,3,96.8,99.3,84.2,80.8,79,83.5,84.8,80.4,15.6,0.2,98.9,803,1018,78.88,82.57,80.25,85.02,Better Than National Rate,12,659,1.82,3.09,2.34,4.08,Same As National Rate
17063,INTREPID USA HEALTHCARE SERVICES,BIRMINGHAM,35242,2058773403,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,12/5/1985,,,,,,,,,,,,,66,84,78.57,81.32,71.77,88.99,Same As National Rate,4,58,6.9,3.69,2.62,5.44,Same As National Rate
17066,SPRINGHILL HOME HEALTH AND HOSPICE,MOBILE,36607,2514338172,PROPRIETARY,Yes,No,Yes,No,Yes,Yes,2/24/1986,2.5,99.7,99.7,93.8,73.6,72.2,75.3,73.5,77.6,17.8,0.4,99.1,323,459,70.37,74.91,70.59,78.92,Same As National Rate,9,345,2.61,3.33,2.49,4.51,Same As National Rate
17069,AMEDISYS HOME HEALTH OF FOLEY,FOLEY,36535,8007636382,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,7/1/1986,4.5,99.7,100,78.9,89.5,90.7,92.1,92.8,85.2,18.2,0,99.7,1040,1387,74.98,80.04,77.83,82.52,Same As National Rate,29,1041,2.79,3.04,2.33,3.84,Same As National Rate
17070,AMEDISYS HOME HEALTH OF CITRONELLE,CITRONELLE,36522,2518663261,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,7/1/1986,4.5,99,99.7,86.5,93.4,90,98.2,89.8,86.2,13.9,0,99.7,320,429,74.59,78.76,74.68,82.99,Same As National Rate,6,275,2.18,3.27,2.37,4.35,Same As National Rate
17071,KINDRED AT HOME,MOULTON,35650,2057397800,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,8/21/1986,4,99.6,99.4,90.7,92.6,89,89.5,82.6,85.9,17.8,0.1,92.3,3426,5026,68.17,73.4,72.14,74.98,Worse Than National Rate,74,2382,3.11,3.17,2.58,3.77,Same As National Rate
17072,AMEDISYS HOME HEALTH OF GREENVILLE,GREENVILLE,36037,3343822042,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,2/5/1987,4,99.4,100,62.1,89.7,92.2,87.6,83.5,83,17.4,0,98.1,269,347,77.52,83.77,79.31,88.49,Better Than National Rate,4,221,1.81,3.14,2.28,4.48,Same As National Rate
17078,AMEDISYS HOME HEALTH OF REFORM,REFORM,35481,8002777445,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/12/1990,3.5,100,99.7,86.8,85.2,87.6,86,84.5,79.3,17.8,0,99.7,494,639,77.31,84.25,81.06,87.66,Better Than National Rate,8,389,2.06,2.96,2.2,3.87,Same As National Rate
17079,ENCOMPASS HEALTH HOME HEALTH,VERNON,35592,2056956736,PROPRIETARY,Yes,Yes,No,No,No,No,12/21/1990,4.5,99.3,100,54.5,96.6,84.4,93.1,89.7,83.6,13.2,0,98.6,127,164,77.44,84.09,76.75,90.23,Same As National Rate,2,67,2.99,3.43,2.43,4.8,Same As National Rate
17080,DCH HOME HEALTH CARE AGENCY,TUSCALOOSA,35401,2057597010,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,Yes,Yes,5/2/1991,3.5,99,99.8,76.7,86.4,78.5,85.3,88.8,72.2,17.6,0.3,98.9,660,897,73.58,78.92,76.11,82.15,Same As National Rate,26,709,3.67,3.48,2.75,4.53,Same As National Rate
17082,CV HOME HEALTH OF BIBB COUNTY,CENTREVILLE,35042,2059263211,PROPRIETARY,Yes,No,No,No,No,Yes,11/7/1991,4.5,97.9,99.6,90.2,100,100,100,98.9,100,18.6,1.3,98.4,26,53,49.06,52.75,40.47,63.97,Worse Than National Rate,,18,,,,,Not Available
17084,KINDRED AT HOME,SELMA,36701,3348726637,PROPRIETARY,Yes,No,Yes,Yes,No,Yes,11/21/1991,4.5,99.3,100,96.1,90.4,87.9,91,94.1,88.7,18.7,0.3,99,417,557,74.87,85.51,81.73,89.44,Better Than National Rate,18,350,5.14,3.73,2.82,5.03,Same As National Rate
17085,COOSA VALLEY HOMECARE,SYLACAUGA,35150,2562080087,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,12/5/1991,4,100,100,69.8,86.2,88.3,80.3,89.8,76.4,14.7,0.2,97.6,397,464,85.56,88.45,84.8,91.49,Better Than National Rate,6,339,1.77,3.17,2.29,4.42,Same As National Rate
17086,ALABAMA HOMECARE,CAMDEN,36726,3346829050,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,1/9/1992,4,99.6,100,60.5,87.8,82.3,87.5,99.4,85,15.8,0,99.2,337,407,82.8,87.14,83.92,90.74,Better Than National Rate,2,141,1.42,3.18,2.29,4.56,Same As National Rate
17088,FAYETTE MEDICAL CENTER HOMECARE,FAYETTE,35555,2059325961,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/18/1991,4.5,100,100,76.2,92,91.9,90.5,91.3,89.2,18.7,0,99.2,404,528,76.52,83.45,79.66,87.54,Better Than National Rate,12,336,3.57,3.37,2.4,4.45,Same As National Rate
17089,CULLMAN REGIONAL HOME CARE,CULLMAN,35058,2567372831,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,No,Yes,Yes,6/11/1992,3,98.8,95.9,71.1,80,83.7,83.8,77.3,74.3,17.6,0.1,91.6,358,422,84.83,86.82,83.52,89.9,Better Than National Rate,14,369,3.79,3.71,2.66,4.85,Same As National Rate
17090,KINDRED AT HOME,BUTLER,36904,2518432808,PROPRIETARY,Yes,Yes,No,No,No,Yes,6/10/1992,3.5,100,100,72,83.5,81.8,83.7,86.1,78.5,14.6,0.5,88.7,623,786,79.26,83.97,81.09,87.02,Better Than National Rate,11,402,2.74,3.46,2.58,4.64,Same As National Rate
17091,HALE COUNTY HOSPITAL HOME HEALTH,GREENSBORO,36744,3346243066,GOVERNMENT - STATE/COUNTY,Yes,No,No,No,No,Yes,6/18/1992,3,98,100,60.3,72.6,73.7,80.3,82.5,89.8,20,1.1,99.3,205,268,76.49,83.27,77.8,88.86,Same As National Rate,5,218,2.29,3.12,2.21,4.28,Same As National Rate
17092,ENCOMPASS HEALTH HOME HEALTH,CARROLLTON,35447,2053678111,PROPRIETARY,Yes,No,No,No,No,Yes,7/1/1992,4,98.2,99.4,80,89.4,88.9,88.6,82.1,88.8,15,0,95.2,232,310,74.84,80,75.03,85.24,Same As National Rate,3,180,1.67,3.15,2.23,4.32,Same As National Rate
17093,DEKALB REGIONAL HOME HEALTH,FORT PAYNE,35968,2565242411,PROPRIETARY,No,No,No,No,No,Yes,7/30/1992,5,98.8,100,81,99,91.5,94.7,96,93.7,16.2,0,97.9,170,216,78.7,82.03,75.91,87.33,Same As National Rate,5,136,3.68,3.46,2.52,4.71,Same As National Rate
17094,CHEROKEE HOME HEALTH,CENTRE,35960,2569271144,PROPRIETARY,Yes,No,No,No,No,Yes,8/13/1992,4.5,99.8,99.8,68.1,95.5,91.8,94.5,87.6,87.2,17,0,78.7,315,465,67.74,72.78,68.15,77.46,Worse Than National Rate,2,246,0.81,2.93,2.17,4.07,Same As National Rate
17095,ATHENS-LIMESTONE HOMECARE,ATHENS,35611,2562339533,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,8/12/1992,4.5,99.8,100,73.5,86.4,89.4,89.3,87.3,84.1,15.5,0.6,99,798,1019,78.31,84.61,82.19,87.18,Better Than National Rate,30,669,4.48,3.98,3.03,5.08,Same As National Rate
17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,TROY,36081,3344034520,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/27/1992,4.5,99.8,100,61.1,92.9,89.4,90.1,88.7,86,19.1,0.3,100,394,502,78.49,80.9,77.29,84.33,Same As National Rate,8,242,3.31,3.43,2.54,4.64,Same As National Rate
17097,CLAY COUNTY HOSPITAL HOME CARE  LLC,ASHLAND,36251,2563540077,PROPRIETARY,Yes,Yes,Yes,No,Yes,Yes,10/27/1992,4.5,100,99.6,65.5,85.6,94.8,85.8,88.3,81.3,14.1,0.4,99.6,483,615,78.54,82.43,79.2,85.73,Better Than National Rate,7,286,2.45,3.31,2.39,4.49,Same As National Rate
17100,MARION REGIONAL HOMECARE,HAMILTON,35570,2059210391,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/29/1992,4,100,100,57.9,83.1,85.3,92.1,91.5,85.4,15.8,1.1,99.3,261,337,77.45,81.58,76.6,86.12,Same As National Rate,7,199,3.52,3.48,2.53,4.82,Same As National Rate
17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,DEMOPOLIS,36732,3342890701,GOVERNMENT - COMBINATION GOVT & VOLUNTARY,Yes,No,No,No,No,Yes,12/23/1992,2,68.5,94.4,42.1,76.8,64.4,76.9,,52.4,15.8,0,93.3,58,145,40,42.83,36.32,50.9,Worse Than National Rate,4,100,4,3.61,2.65,5,Same As National Rate
17104,HIGHLANDS HOME HEALTH,SCOTTSBORO,35768,2562594840,GOVERNMENT - STATE/COUNTY,Yes,Yes,Yes,Yes,No,Yes,1/13/1993,3.5,98.7,99.6,62.5,82.8,88,83.9,73.7,80.3,12.5,0,97.8,205,300,68.33,74.1,68.4,79.48,Same As National Rate,6,187,3.21,3.54,2.48,4.84,Same As National Rate
17106,EVERGREEN HOME CARE,EVERGREEN,36401,2515786800,PROPRIETARY,Yes,No,No,No,No,Yes,1/12/1993,2,91.6,99.4,55.5,69.7,69.3,65.5,60.9,76.1,19.7,0,98.1,126,221,57.01,60.23,54.06,66.95,Worse Than National Rate,7,119,5.88,3.72,2.65,5.22,Same As National Rate
17107,SUNCREST HOME HEALTH,CLANTON,35045,2052804663,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,5/24/1993,4,98.8,99.8,82.3,90.3,88.6,89.7,92.6,89,18.9,0.1,99.3,704,995,70.75,74.64,71.75,77.64,Worse Than National Rate,24,725,3.31,3.5,2.72,4.42,Same As National Rate
17109,NORTHWEST HOME HEALTH - HALEYVILLE,HALEYVILLE,35565,2054857341,VOLUNTARY NON-PROFIT - PRIVATE,Yes,No,No,No,No,Yes,6/23/1993,3,94,96,58.3,80.4,85.9,86.5,77.1,76.8,18.3,1.1,82.8,145,177,81.92,86.3,80.25,91.4,Better Than National Rate,10,206,4.85,3.68,2.75,4.97,Same As National Rate
17112,JACKSON MEDICAL CENTER HOME HEALTH,JACKSON,36545,2512470424,PROPRIETARY,Yes,Yes,No,Yes,No,Yes,6/29/1993,3.5,99.2,99.6,73.4,83,100,84.9,86.2,79.1,20.4,0.6,99.6,222,285,77.89,79.63,75,84.2,Same As National Rate,5,212,2.36,3.35,2.39,4.49,Same As National Rate
17115,GADSDEN REGIONAL HOME HEALTH,GADSDEN,35903,2565382273,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,7/27/1993,4.5,100,100,86.7,90.4,90.2,88.9,89.6,86.2,19.5,0,99.8,364,465,78.28,81.75,78.13,85.36,Same As National Rate,12,447,2.68,3.27,2.4,4.39,Same As National Rate
17116,IVY CREEK HOME HEALTH OF ELMORE,WETUMPKA,36092,3345677710,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,7/26/1993,3,97.9,92,58.7,90.3,84.9,86.7,59,77.1,18.4,0.7,81.1,346,475,72.84,79.79,75.56,84.18,Same As National Rate,13,369,3.52,3.42,2.51,4.7,Same As National Rate
